DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
831,19030303,  118,     ,
831,19030304,   10,     ,
831,19030305,    1,     ,
831,19030306,   99,     ,
831,19030307,    0,     ,
831,19030308,   24,     ,
831,19030309,    0,     ,
831,19030310,    1,     ,
831,19030311,    0,     ,
831,19030312,    0,     ,
831,19030313,    0,     ,
831,19030314,    0,     ,
831,19030315,    0,     ,
831,19030316,    2,     ,
831,19030317,   13,     ,
831,19030318,   21,     ,
831,19030319,    3,     ,
831,19030320,    0,     ,
831,19030321,    0,     ,
831,19030322,    0,     ,
831,19030323,    0,     ,
831,19030324,    0,     ,
831,19030325,    0,     ,
831,19030326,    6,     ,
831,19030327,    8,     ,
831,19030328,    3,     ,
831,19030329,    0,     ,
831,19030330,  117,     ,
831,19030331,    6,     ,
831,19030401,    9,     ,
831,19030402,   10,     ,
831,19030403,    2,     ,
831,19030404,   13,     ,
831,19030405,   83,     ,
831,19030406,    1,     ,
831,19030407,    0,     ,
831,19030408,   67,     ,
831,19030409,   18,     ,
831,19030410,    0,     ,
831,19030411,    0,     ,
831,19030412,   12,     ,
831,19030413,   25,     ,
831,19030414,   16,     ,
831,19030415,   70,     ,
831,19030416,   90,     ,
831,19030417,    8,     ,
831,19030418,   28,     ,
831,19030419,    2,     ,
831,19030420,    1,     ,
831,19030421,    0,     ,
831,19030422,    0,     ,
831,19030423,   59,     ,
831,19030424,  229,     ,
831,19030425,  267,     ,
831,19030426,  159,     ,
831,19030427,   92,     ,
831,19030428,    2,     ,
831,19030429,   16,     ,
831,19030430,    0,     ,
831,19030501,    0,     ,
831,19030502,    0,     ,
831,19030503,    0,     ,
831,19030504,    0,     ,
831,19030505,   30,     ,
831,19030506,    0,     ,
831,19030507,   48,     ,
831,19030508,   10,     ,
831,19030509,   52,     ,
831,19030510,   14,     ,
831,19030511,   87,     ,
831,19030512,   58,     ,
831,19030513,    0,     ,
831,19030514,    0,     ,
831,19030515,    0,     ,
831,19030516,    0,     ,
831,19030517,    0,     ,
831,19030518,   50,     ,
831,19030519,    0,     ,
831,19030520,    0,     ,
831,19030521,    0,     ,
831,19030522,    0,     ,
831,19030523,    0,     ,
831,19030524,    0,     ,
831,19030525,    0,     ,
831,19030526,    0,     ,
831,19030527,    0,     ,
831,19030528,    0,     ,
831,19030529,    5,     ,
831,19030530,    0,     ,
831,19030531,    0,     ,
831,19030601,    0,     ,
831,19030602,    0,     ,
831,19030603,    0,     ,
831,19030604,    0,     ,
831,19030605,    0,     ,
831,19030606,    0,     ,
831,19030607,    0,     ,
